family,variant,seeds,mae_mean,mae_std,rmse_mean,rmse_std,relative_error_mean,relative_error_std,risk_accuracy_mean,risk_accuracy_std,danger_recall_mean,danger_recall_std,danger_f1_mean,danger_f1_std
ablations,all_features,3,2.7386630370500584,0.033322931845621094,5.19230348573928,0.059088661052169256,0.3437102555594151,0.0024549950949491403,0.7114612295335186,0.00898948688721128,0.8376251788268956,0.005292792770725612,0.7844847026652698,0.008527877663530373
ablations,box_ttc,3,2.8613078455438683,0.04665677260230893,5.366484034266212,0.05913193182394771,0.3883731622075323,0.006211179039375752,0.6811862835959221,0.004039758057034961,0.8004291845493562,0.0,0.7543004831972467,0.0019067312768390487
ablations,plus_flow_reliability,3,2.911827623306126,0.08891605147201737,5.419606608727872,0.1511018875442277,0.3771976428868016,0.009774879579247194,0.6882916280506642,0.0030150171912176975,0.8111587982832619,0.005575270839813935,0.7657010775711783,0.005708636664827322
ablations,plus_radial_motion,3,2.8859910152059602,0.07656618045640863,5.337777441882692,0.11031606169545073,0.38602594363066833,0.010706676624403598,0.6850478838430646,0.006325485087872465,0.7939914163090128,0.003716847226542666,0.7544676327238427,0.004348746600653835
ablations,plus_trend,3,2.8462745856964404,0.07205093282819251,5.307474335494736,0.07077511592541666,0.38065430544502327,0.0072330653247102165,0.6981773246833488,0.004664710803380129,0.8043633762517883,0.007612230562872938,0.7671955042172213,0.00858375959623589
models,gru,3,1.7890008477874477,0.024483519938572295,3.9307474268457914,0.05527201099003726,0.27285088776988903,0.00405962405008019,0.8053753475440223,0.0032437442075996603,0.8240343347639486,0.01580570800714187,0.8720288243386315,0.004177197743644439
models,lstm,3,1.7464635043295953,0.029806417135648123,3.7737986758046915,0.07912425638280017,0.2808234695684838,0.012754160329027354,0.7987333951189374,0.008941585195184657,0.7954220314735335,0.024000141730769142,0.8628933358892069,0.010679508138322804
models,mlp,3,2.7386630370500584,0.033322931845621094,5.19230348573928,0.059088661052169256,0.3437102555594151,0.0024549950949491403,0.7114612295335186,0.00898948688721128,0.8376251788268956,0.005292792770725612,0.7844847026652698,0.008527877663530373
windows,12,3,2.7386630370500584,0.033322931845621094,5.19230348573928,0.059088661052169256,0.3437102555594151,0.0024549950949491403,0.7114612295335186,0.00898948688721128,0.8376251788268956,0.005292792770725612,0.7844847026652698,0.008527877663530373
windows,15,3,2.631686306987527,0.010038295661549023,5.001683856448744,0.017379148895388583,0.34671710064298683,0.009247960128354923,0.709298733395119,0.011124626246543637,0.832618025751073,0.005677577920739454,0.7833204599657364,0.006504200657860422
windows,5,3,3.0451922322893012,0.07140498718155908,5.816825340769892,0.09822167172518351,0.35221240460656084,0.004989829349291125,0.70064874884152,0.008494116209371332,0.871244635193133,0.0021459227467811037,0.7795490270703306,0.006453606853168953
windows,8,3,2.9111685219232615,0.07507521611876652,5.523953283078288,0.13390269680989633,0.357208846120099,0.009758241052597197,0.7046648130985481,0.009833669473214074,0.8501430615164521,0.002233547209727602,0.7820557598489586,0.005733007606936376
